"ID";"AlarmName";"PlaceMaybe";"Type";"Level"
1;"A_LO_J1";"PL3/PQ3";"Tele";"N"
2;"A_LOC";"PL3/PQ3";"Devi";"M"
3;"APS_FAIL";"SCC";"Tele";"M"
4;"APS_INDI";"SCC";"Tele";"M"
5;"APS_PARA_ERR";"SCC";"Proc";"U"
6;"AU_AIS";"Many";"Tele";"M"
7;"AU_AIS_C";"SV4";"Tele";"M"
8;"AU_LOP";"Many";"Tele";"M"
9;"AU_LOP_C";"SV4";"Tele";"M"
10;"B1_EXC";"Many";"QoS";"N"
11;"B1_SD";"Many";"QoS";"N"
12;"B1B_EXC";"S16/AL1";"QoS";"N"
13;"B2_EXC";"Many";"QoS";"C"
14;"B2_SD";"Many";"QoS";"N"
15;"B3_EXC";"Many";"QoS";"M"
16;"B3_SD";"Many";"QoS";"N"
17;"BD_STATUS";"Many";"Devi";"M"
18;"BIP_EXC";"Many";"QoS";"N"
19;"BIP_SD";"Many";"QoS";"N"
20;"BUF_ERR";"Many";"Proc";"N"
21;"BUS_LOC";"Many";"Devi";"M"
22;"C4_L_LAISD";"SPQ4";"Tele";"M"
23;"C4_T_LAISD";"SPQ4";"Tele";"N"
24;"CC_LOC";"AL1";"QoS";"U"
25;"CFG_OVERFLOW";"PQM";"Devi";"M"
26;"COMMUN_FAIL";"Many";"Devi";"M"
27;"CONF_DATA_LOS";"ET1/PD1/PQ1/PM1";"Proc";"N"
28;"COOL_CUR_OVER";"BPA/BA2/COA";"Devi";"M"
29;"DATA_DIFFER";"EIPC";"Proc";"W"
30;"DBMS_ERROR";"SCC";"Proc";"M"
31;"DBMS_PROTECT_MODE";"SCC";"Proc";"C"
32;"D_LO_J1";"PL3/PQ3";"Tele";"M"
33;"DOWN_E1_AIS";"Many";"Tele";"N"
34;"E1_LOS";"Many";"Tele";"N"
35;"ETH_LOS";"ET1";"Unc";"N"
36;"EXER_FAIL";"SCC";"Tele";"M"
37;"EXT_LOS";"SPQ4";"Tele";"N"
38;"EXT_SYNC_LOS";"XCS/TDA";"Devi";"C"
39;"FAN_FAIL";"ET1/SCC";"Devi";"M"
40;"FI_FAIL";"SCC";"Tele";"M"
41;"FPGA_ABN";"Many";"Devi";"M"
42;"HARD_BAD";"Many";"Devi";"U"
43;"HCS";"AL1";"Tele";"N"
44;"HPAD_CROSSTR";"Many";"QoS";"N"
45;"HP_CROSSTR";"Many";"QoS";"N"
46;"HP_D_J1_LOS";"SPQ4";"Tele";"N"
47;"HP_LOM";"Many";"Tele";"M"
48;"HP_LOM_C";"SV4";"Tele";"U"
49;"HP_J1_LOL";"SPQ4";"Tele";"N"
50;"HP_R_FIFO";"Many";"Devi";"N"
51;"HP_R_LOP";"SPQ4";"Tele";"N"
52;"HP_RDI";"Many";"Tele";"N"
53;"HP_REI";"Many";"QoS";"W"
54;"HP_SLM";"Many";"Tele";"N"
55;"HP_T_FIFO";"SL1/AL1";"Devi";"N"
56;"HP_TIM";"Many";"Tele";"N"
57;"HP_UATEVENT";"Many";"Tele";"N"
58;"HP_UNEQ";"Many";"Tele";"N"
59;"ILL_MFI";"SV4";"Tele";"U"
60;"ILL_SQ";"SV4";"Tele";"M"
61;"IN_PWR_ABN";"Many";"Devi";"M"
62;"IN_PWR_FAIL";"BPA/BA2/COA";"Devi";"C"
63;"IN_PWR_HIGH";"BPA/BA2";"Devi";"M"
64;"J0_MM";"Many";"Tele";"C"
65;"K1_K2_M";"SCC";"Tele";"N"
66;"K2_M";"SCC";"Tele";"N"
67;"LCD";"AL1";"Tele";"M"
68;"LOCK_CUR_FAIL";"BPA/BA2/COA";"Devi";"C"
69;"LOOP_ALM";"Many";"Devi";"U"
70;"LP_AIS";"Many";"Tele";"N"
71;"LP_CROSSTR";"ET1";"QoS";"N"
72;"LP_RDI";"Many";"Tele";"N"
73;"LP_RFI";"Many";"Tele";"N"
74;"LP_R_FIFO";"Many";"Devi";"N"
75;"LP_SIZE_ERR";"Many";"Tele";"N"
76;"LP_SLM";"Many";"Tele";"N"
77;"LP_TIM";"Many";"Tele";"N"
78;"LP_T_FIFO";"Many";"Devi";"N"
79;"LP_UATEVENT";"Many";"Tele";"N"
80;"LP_UNEQ";"Many";"Tele";"N"
81;"LSR_WILL_DIE";"S16";"Devi";"M"
82;"LTI";"XCS/TDA";"Devi";"M"
83;"MAIL_ERR";"XCS";"Tele";"M"
84;"MEM_ERR";"SCC";"Devi";"M"
85;"MS_AIS";"Many";"Tele";"M"
86;"MS_CROSSTR";"Many";"QoS";"N"
87;"MS_RDI";"Many";"Tele";"N"
88;"MS_REI";"Many";"QoS";"W"
89;"MS_UATEVENT";"Many";"Tele";"N"
90;"MSAD_CROSSTR";"Many";"QoS";"N"
91;"MSP_INFO_LOSS";"SCC";"Proc";"C"
92;"M_S_SW";"XCS";"Devi";"C"
93;"N1_AIS";"SV4";"Tele";"U"
94;"NE_SF_LOST";"SCC";"Devi";"U"
95;"NESTATE_INSTALL";"SCC";"Proc";"C"
96;"NEW_POINTER";"SPQ4";"QoS";"N"
97;"NO_BD_PARA";"BPA/BA2/COA";"Devi";"C"
98;"NO_BD_SOFT";"Many";"Devi";"C"
99;"OCD";"AL1";"Tele";"M"
100;"OTH_BD_STATUS";"Many";"Devi";"W"
101;"OUT_PWR_ABN";"S16/SV4/COA";"Devi";"C"
102;"POWER_FAIL";"SCC";"Devi";"M"
103;"PS";"Many";"Devi";"M"
104;"PWR_MAJ_ALM";"PMU";"Envi";"C"
105;"PWR_MIN_ALM";"PMU";"Envi";"N"
106;"P_AIS";"PL3/PQ3";"Tele";"M"
107;"P_LOC";"PL3/PQ3";"Devi";"M"
108;"P_LOS";"PL3/PQ3";"Devi";"M"
109;"RAM_EER";"Many";"Devi";"M"
110;"RAM_LOC";"Many";"Devi";"M"
111;"RECEIVE_ERR";"EIPC";"Devi";"C"
112;"RELAY_ALARM";"PMU";"Envi";"M"
113;"RP_LOC";"PL3/PQ3";"Devi";"M"
114;"RR_LOC";"Many";"Devi";"M"
115;"RS_CROSSTR";"Many";"QoS";"N"
116;"RS_UATEVENT";"Many";"Tele";"N"
117;"R_APS";"Many";"Tele";"N"
118;"R_FIFO_E";"S16/SPQ4";"Devi";"N"
119;"R_F_RST";"PL3/PQ3";"Devi";"N"
120;"R_LOF";"Many";"Tele";"C"
121;"R_LOS";"Many";"Tele";"C"
122;"R_OOF";"Many";"Tele";"C"
123;"R_S_ERR";"PL3/PQ3";"Tele";"C"
124;"S1_SYN_CHANGE";"XCS";"Devi";"M"
125;"SECU_ALM";"SCC";"Secu";"M"
126;"SL4_ALM";"SL4";"Devi";"N"
127;"STM_ERR";"Many";"Proc";"N"
128;"SUBCARD_ABN";"AL1/ET1/PQ3";"Devi";"S"
129;"SYN_BAD";"XCS";"Devi";"N"
130;"SYNC_C_LOS";"XCS/TDA";"Devi";"W"
131;"T1_S_F_OU";"SPQ4";"Devi";"N"
132;"TAIP_LOC";"Many";"Devi";"N"
133;"T_ALOS";"Many";"Tele";"M"
134;"T_DLOS";"Many";"Devi";"N"
135;"T_FIFO_E";"S16/PL3/PQ3/SPQ4";"Devi";"N"
136;"T_F_RST";"PL3/PQ3";"Devi";"N"
137;"T_LOC";"Many";"Devi";"M"
138;"T_LOS";"Many";"Devi";"M"
139;"T_LOTC";"Many";"Devi";"N"
140;"T_LOXC";"Many";"Devi";"N"
141;"T_TDM";"Many";"Devi";"N"
142;"TEM_HA";"S16";"Devi";"M"
143;"TEM_LA";"S16";"Devi";"M"
144;"TEMP_ALARM";"PMU/ET1";"Envi";"N"
145;"TEMP_OVER";"XCS/BPA/BA2/COA";"Devi";"M"
146;"TF";"Many";"Devi";"M"
147;"TP_LOC";"PL3/PQ3";"Devi";"M"
148;"TR_LOC";"Many";"Devi";"M"
149;"TU_AIS";"Many";"Tele";"M"
150;"TU_LOP";"Many";"Tele";"M"
151;"UHCS";"AL1";"Tele";"N"
152;"UP_E1_AIS";"Many";"Tele";"N"
153;"VCXO_LOC";"PL3/PQ3";"Devi";"M"
154;"VC_AIS";"AL1";"Tele";"C"
155;"VC_RDI";"AL1";"Tele";"M"
156;"VER_MISMATCH";"PL3/PQ3";"Proc";"M"
157;"VP_AIS";"AL1";"Tele";"C"
158;"VP_RDI";"AL1";"Tele";"M"
159;"W_R_FAILURE";"Many";"Devi";"M"
160;"WORK_CUR_OVER";"BPA/BA2/COA";"Devi";"M"
161;"WRG_BD_TYPE";"SCC";"Devi";"M"
162;"ALM_GFP_dLFD";"Many";"Tele";"M"
163;"B3_SD_VC3";"Many";"QoS";"N"
164;"B3_SD_VC4";"Many";"QoS";"N"
165;"BEFFEC_EXC";"Many";"QoS";"M"
166;"CHAN_LOS";"Many";"Tele";"M"
167;"IN_PWR_LOW";"ABA2/ABPA";"Devi";"C"
168;"LP_RDI_VC12";"Many";"Tele";"N"
169;"LP_REI";"APQ1";"Tele";"N"
170;"LP_REI_VC12";"APQ1";"Tele";"N"
171;"LP_SLM_VC12";"Many";"Tele";"N"
172;"LP_TIM_VC12";"Many";"Tele";"N"
173;"LP_UNEQ_VC12";"Many";"Tele";"N"
174;"VCAT_LOM_VC12";"Many";"Tele";"M"
