"Date";"Time";"Device";"Status";"AllAlarm";"CAlarm";"MAlarm";"NAlarm";"WAlarm";"TeleAlarm";"DeviAlarm";"QoSAlarm";"ProcAlarm";"EnviAlarm";"SecuAlarm";"MainPlace1";"MainPlace2";"MainPlace3";"MainAlarm1";"MainAlarm2";"MainAlarm3";"MainAlarm4";"MainAlarm5";"Relative1";"Relative2";"Relative3";"Relative4";"Relative5"
"2015-11-24";"12:00:00";"871-CD";2;207;0;207;0;0;0;207;0;0;0;0;"ET1/SCC";"null";"null";"FAN_FAIL";"null";"null";"null";"null";"";"";"";"";""
"2015-11-24";"12:00:00";"850-CGY";1;1;1;0;0;0;0;1;0;0;0;0;"ABA2/ABPA";"null";"null";"IN_PWR_LOW";"null";"null";"null";"null";"";"";"";"";""
"2015-11-24";"12:00:00";"824-SZB";2;15;0;15;0;0;0;0;15;0;0;0;"Many";"null";"null";"BEFFEC_EXC";"null";"null";"null";"null";"";"";"";"";""
"2015-11-24";"12:00:00";"838-SGS";1;47;2;45;0;0;0;2;45;0;0;0;"Many";"ABA2/ABPA";"null";"BEFFEC_EXC";"IN_PWR_LOW";"null";"null";"null";"";"";"";"";""
"2015-11-24";"12:00:00";"858-XNGS";2;22;0;22;0;0;0;0;22;0;0;0;"Many";"null";"null";"BEFFEC_EXC";"null";"null";"null";"null";"";"";"";"";""
"2015-11-24";"12:00:00";"9-805-MZ";1;1;1;0;0;0;0;1;0;0;0;0;"ABA2/ABPA";"null";"null";"IN_PWR_LOW";"null";"null";"null";"null";"";"";"";"";""
"2015-11-24";"12:00:00";"827-ML";2;1;0;1;0;0;1;0;0;0;0;0;"Many";"null";"null";"CHAN_LOS";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"838-SGS";1;252;21;231;0;0;0;21;231;0;0;0;"Many";"ABA2/ABPA";"null";"BEFFEC_EXC";"IN_PWR_LOW";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"871-CD";2;1002;0;1002;0;0;0;1002;0;0;0;0;"ET1/SCC";"null";"null";"FAN_FAIL";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"858-XNGS";2;85;0;85;0;0;0;0;85;0;0;0;"Many";"null";"null";"BEFFEC_EXC";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"824-SZB";2;49;0;49;0;0;0;0;49;0;0;0;"Many";"null";"null";"BEFFEC_EXC";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"817-XNB";2;1;0;1;0;0;1;0;0;0;0;0;"Many";"null";"null";"CHAN_LOS";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"827-ML";2;2;0;2;0;0;2;0;0;0;0;0;"Many";"null";"null";"CHAN_LOS";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"9-805-MZ";1;3;3;0;0;0;0;3;0;0;0;0;"ABA2/ABPA";"null";"null";"IN_PWR_LOW";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"850-CGY";1;3;3;0;0;0;0;3;0;0;0;0;"ABA2/ABPA";"null";"null";"IN_PWR_LOW";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"246-BLHDC";2;242;0;242;0;0;242;0;0;0;0;0;"Many";"null";"null";"T_ALOS";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"237-27L";3;6;0;0;6;0;0;0;0;0;0;0;"ET1";"null";"null";"ETH_LOS";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"201-SGS";3;112;0;0;112;0;0;0;112;0;0;0;"Many";"null";"null";"B2_SD";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"235-33L";2;142;0;142;0;0;142;0;0;0;0;0;"Many";"null";"null";"T_ALOS";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"117-JSB";3;12;0;0;12;0;12;0;0;0;0;0;"APQ1";"null";"null";"LP_REI";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"13005-XGDL";2;381;0;63;318;0;381;0;0;0;0;0;"Many";"APQ1";"null";"LP_SLM_VC12";"LP_TIM_VC12";"LP_UNEQ_VC12";"VCAT_LOM_VC12";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"115-EZGS";2;42;0;18;24;0;18;0;24;0;0;0;"Many";"null";"null";"BIP_SD";"ALM_GFP_dLFD";"B3_SD_VC4";"VCAT_LOM_VC12";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"309-SNJ";3;4;0;0;4;0;0;0;4;0;0;0;"Many";"null";"null";"B3_SD_VC3";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"109-DGHKGZ";3;6;0;0;6;0;6;0;0;0;0;0;"APQ1";"null";"null";"LP_REI";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"375-SZXTXJFX";2;2;0;2;0;0;2;0;0;0;0;0;"Many";"null";"null";"T_ALOS";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"234-XGGS";2;2;0;2;0;0;2;0;0;0;0;0;"Many";"null";"null";"T_ALOS";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"116-HGGS";3;10;0;0;10;0;10;0;0;0;0;0;"APQ1";"null";"null";"LP_REI_VC12";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"215-XGB";2;2;0;2;0;0;2;0;0;0;0;0;"Many";"null";"null";"T_ALOS";"null";"null";"null";"null";"";"";"";"";""
"2015-11-25";"12:00:00";"308-HTP";2;6;0;6;0;0;0;6;0;0;0;0;"Many";"null";"null";"BD_STATUS";"null";"null";"null";"null";"";"";"";"";""
